state,year,race,pct_black,fed,fed_state,total_funds
MS,1932,white,50.2,"1,568,708","1,587,837",3156545
MO,1932,white,6.2,"3,655,437","3,727,469",7382906
NC,1932,white,29,"2,034,254","2,396,634",4430888
OK,1932,white,7.2,"4,973,314","5,008,346",9981660
SC,1932,white,45.6,"2,079,108","2,360,981",4440089
TN,1932,white,18.3,"2,074,986","2,077,452",4152438
TX,1932,white,14.7,"7,908,573","12,685,845",20594418
VA,1932,white,26.8,"2,519,571","3,330,148",5849719
WV,1932,white,6.6,"2,472,996","2,566,197",5039193
AL,1932,black,25.7,"79,405","79,405",158810
AR,1932,black,25.8,"59,717","59,734",119451
DE,1932,black,13.7,"50,767","204,855",255622
FL,1932,black,29.4,"168,918","218,919",387837
GA,1932,black,36.8,"129,269","160,672",289941
KY,1932,black,8.6,"112,091","142,121",254212
LA,1932,black,36.9,"105,460","109,308",214768
MD,1932,black,16.9,"103,015","113,119",216134
MS,1932,black,50.2,"79,500","79,500",159000
MO,1932,black,6.2,"140,289","239,007",379296
NC,1932,black,29,"99,707","105,950",205657
OK,1932,black,7.2,"136,147","146,147",282294
SC,1932,black,45.6,0,0,0
TN,1932,black,18.3,"183,752","678,059",861811
TX,1932,black,14.7,"229,241","264,292",493533
VA,1932,black,26.8,"127,145","147,853",274998
WV,1932,black,6.6,"262,350","281,110",543460
US,1932,white,,"43,911,163","55,874,343",99785506
US,1932,black,,"2,066,773","3,030,871",5097644
